iter	Passed	Remaining
244	1292	3981
245	1294	3967
246	1300	3964
247	1302	3949
248	1304	3933
249	1306	3919
250	1308	3903
251	1309	3887
252	1316	3887
253	1318	3873
254	1321	3860
255	1324	3848
256	1331	3850
257	1334	3836
258	1337	3826
259	1339	3811
260	1341	3797
261	1348	3797
262	1355	3797
263	1362	3799
264	1368	3794
265	1369	3780
266	1372	3766
267	1373	3751
268	1383	3760
269	1386	3747
270	1388	3734
271	1395	3736
272	1399	3726
273	1401	3713
274	1402	3697
275	1404	3684
276	1409	3679
277	1411	3666
278	1416	3661
279	1418	3647
280	1420	3635
281	1428	3637
282	1430	3623
283	1436	3621
284	1439	3610
285	1441	3598
286	1443	3586
287	1455	3598
288	1459	3591
289	1472	3605
290	1483	3613
291	1485	3600
292	1487	3589
293	1490	3578
294	1492	3566
295	1496	3559
296	1498	3546
297	1500	3534
298	1502	3522
299	1504	3510
300	1506	3499
301	1508	3487
302	1510	3473
303	1511	3461
304	1514	3451
305	1516	3440
306	1523	3438
307	1525	3427
308	1528	3419
309	1530	3406
310	1532	3394
311	1534	3383
312	1538	3377
313	1540	3365
314	1543	3355
315	1545	3344
316	1546	3332
317	1555	3335
318	1558	3326
319	1559	3314
320	1561	3303
321	1564	3293
322	1574	3300
323	1579	3294
324	1587	3296
325	1589	3285
326	1591	3275
327	1593	3264
328	1594	3252
329	1596	3241
330	1598	3231
331	1600	3221
332	1603	3211
333	1604	3200
334	1606	3188
335	1612	3187
336	1614	3175
337	1616	3165
338	1618	3155
339	1620	3144
340	1621	3134
341	1626	3129
342	1628	3119
343	1631	3110
344	1632	3100
345	1634	3089
346	1636	3080
347	1642	3076
348	1643	3065
349	1645	3055
350	1647	3046
351	1649	3036
352	1651	3027
353	1656	3023
354	1659	3016
355	1663	3009
356	1665	2999
357	1667	2990
358	1674	2989
359	1675	2978
360	1677	2969
361	1680	2961
362	1682	2952
363	1690	2953
364	1692	2944
365	1694	2934
366	1696	2925
367	1698	2917
368	1705	2916
369	1707	2907
370	1710	2899
371	1712	2890
372	1714	2882
373	1720	2879
374	1721	2869
375	1723	2860
376	1725	2851
377	1727	2842
378	1729	2834
379	1736	2832
380	1737	2822
381	1739	2813
382	1741	2805
383	1743	2796
384	1745	2788
385	1750	2783
386	1753	2777
387	1755	2769
388	1758	2762
389	1760	2753
390	1765	2749
391	1768	2743
392	1770	2735
393	1774	2728
394	1776	2721
395	1783	2720
396	1785	2711
397	1787	2703
398	1790	2696
399	1791	2687
400	1798	2687
401	1800	2678
402	1803	2671
403	1804	2662
404	1806	2654
405	1808	2645
406	1810	2637
407	1813	2630
408	1814	2622
409	1816	2614
410	1818	2606
411	1825	2605
412	1828	2598
413	1829	2590
414	1832	2582
415	1834	2575
416	1839	2572
417	1841	2564
418	1843	2555
419	1845	2548
420	1846	2540
421	1849	2533
